UNITID,cs_stat,cs_pval,noncs_stat,noncs_pval,quadrant
149231,0.6607231424739557,0.02688399171805161,0.8834645386914373,0.0003107348472851891,1
149772,0.1220778937188477,0.7206638925872192,0.9530119361714227,5.779368641650027e-06,1
149781,0.49999999999999994,0.1173068030142382,0.8400734771011922,0.0012092822641442808,1
150066,-0.19458571122764579,0.5664155702372307,0.18943964299455057,0.576920514343158,3
150136,0.8300320428712372,0.0015663404751513124,0.9699384596747679,7.937176752753184e-07,1
150163,0.412065522930907,0.2079156139411162,0.7441214829128301,0.008637592917552932,1
150400,0.623770003372833,0.040280421315241594,0.6507742107966478,0.030122944284312638,1
150455,-0.09128206292735731,0.7895293411952703,0.6997499794186137,0.016526188483518056,3
150604,0.378632845720504,0.25085316198297036,0.3680024062464331,0.2654895785329997,1
150668,0.3,0.3700831222820675,0.8928596567591565,0.00021588027703048186,1
150756,0.029111125486979084,0.9322901708262612,0.5050108675041401,0.11309417341585053,1
151102,0.32229024524514294,0.33374777503072056,0.8940361853035362,0.0002057762531739152,1
151111,0.6784533579636406,0.02173426543236738,0.9801973956858006,1.2311337378873413e-07,1
151263,0.5604916978834088,0.07289030679706639,0.8720291907383627,0.00046545548193276635,1
151290,0.5023462158175245,0.11532197510765563,0.8727211727668099,0.00045470894103777273,1
151306,0.3897645908533207,0.23603414342998189,0.8921100214953684,0.00022251214646514471,1
151324,0.3006408869310123,0.3690112897158574,0.8340275737187595,0.001415943011416784,1
151333,0.49158201603235596,0.12460848480118028,0.9064994111298592,0.0001193711948600821,1
151342,0.5010409360523289,0.1164235098054021,0.9308052883203929,3.1926385309135996e-05,1
151351,0.9052655108959597,0.00012639397347845663,0.971327004857716,6.428613437308585e-07,1
151360,0.49173032502822817,0.1244773911850603,0.937825392312855,1.993220553915803e-05,1
151379,-0.579316591549555,0.06180156299630573,0.534169427186684,0.09052073930653957,3
151801,-0.28274545853577804,0.39953049349967773,0.6828454066537744,0.020575991259654834,3
152080,0.5347185168327269,0.09012683038242231,0.5254166247942229,0.09695365858599736,1
152318,0.3032699901197435,0.3646309616567479,0.7721043184331887,0.005359945496552588,1
152530,0.51022429363018,0.1088163116865028,0.6602462902227852,0.027033352223142668,1
152567,-0.4426899866571765,0.1727164315995245,0.8449376466524248,0.001060172588696678,3
152600,0.587776360895529,0.057213883628822036,0.9452968926843874,1.1326615455289828e-05,1
153001,-0.5489851606834428,0.0802855119833368,0.08993950070620839,0.7925662014429551,3
153108,0.7342474074892813,0.01008313976757378,0.8055057053736663,0.002766683396810156,1
153126,-0.35071112959597833,0.2903015801124114,0.774963319088994,0.005086605719433366,3
